movie_id,genre_id,popularity
39953,18,0.054148
41580,18,0.934312
315,80,4.220541
22067,10749,0.912909
18242,878,0.381704
11667,53,13.58449
32502,35,2.342756
28732,53,1.108494
75555,53,0.268043
42981,99,0.142357
278939,18,0.405392
291731,18,0.014925
226229,53,0.302957
203119,35,0.012456
316098,99,0.0368
8011,878,6.866634
2654,53,8.497643
18069,10749,1.888534
19092,18,4.38154
2758,14,17.555909
38129,35,0.394194
10436,10749,8.013617
13595,10402,7.09232
46094,10751,1.896273
9409,35,12.967239
11853,37,14.644772
16771,10749,1.632711
46924,14,2.783872
11041,35,5.673735
306,80,11.787784
14522,10751,8.398845
26203,53,3.00282
178,53,13.155071
19819,18,6.131056
57834,10749,4.993829
4722,53,6.559693
18215,10749,4.304224
1607,80,6.115628
26391,35,1.679042
117553,35,1.316741
6075,53,8.698509
11310,37,8.605703
18658,9648,2.724621
9350,53,9.830853
9612,10751,10.722729
2124,53,14.228963
26261,10751,7.042878
19176,35,4.286279
49299,18,2.70097
11566,35,13.696394
9571,18,6.8652
9739,878,11.626116
24257,99,0.408159
34444,10749,2.970724
26141,35,3.555139
10997,18,4.875827
50463,10749,1.344876
10443,18,9.284624
20239,35,0.985441
16297,18,2.969003
18551,10749,1.896869
25440,10769,0.409427
9024,10749,8.468869
37233,53,9.678367
1634,12,5.990572
13815,53,3.970215
5503,9648,10.08937
35588,37,4.653462
2087,53,14.214403
41579,80,2.410545
18620,10749,0.775898
41006,18,5.22583
4916,53,5.385108
2019,53,7.834351
31642,18,4.190541
9255,10752,13.482371
26271,35,2.138959
10612,10749,5.331753
2259,18,10.687795
16097,35,0.996047
11934,18,7.550545
106143,18,1.742974
12475,35,6.071466
9386,9648,12.637158
7984,18,7.405895
59930,10749,0.613335
15765,10402,14.820883
31643,35,4.563989
6,80,5.538671
329,878,8.863776
10909,80,8.4337
507,53,4.948569
34024,18,4.375347
29918,10751,3.645342
9593,10751,9.434006
42580,10751,6.446229
22317,37,2.913584
1413,10749,6.516976
12121,35,5.43085
2246,80,9.861672
10502,18,5.997712
10440,9648,8.939404
9516,80,5.260924
2320,53,13.106291
5879,10749,8.932494
83718,10749,0.534606
11971,10749,8.62724
2625,10749,6.579753
31911,10749,13.011091
788,10751,11.16553
21450,18,8.665198
11231,12,9.9697
41588,18,0.596207
10447,53,9.715187
31586,878,15.534707
9300,14,3.800785
9559,53,8.040589
9800,18,13.373006
713,10749,7.436758
8291,10749,6.972599
18133,18,3.199976
25557,53,7.272296
22588,10749,8.506727
10872,35,5.868677
1245,10749,12.222576
11858,10752,4.985157
7007,53,6.279082
10467,10749,3.416181
5550,53,8.685798
8005,35,17.136672
2088,53,9.796318
10412,53,5.157926
47889,10749,0.941994
14534,18,5.914833
56583,18,1.065843
41878,18,1.031556
424,10752,41.725123
35233,18,5.715608
14291,18,12.048587
103413,18,0.882596
11236,14,6.499523
11592,53,5.305311
8850,878,7.881107
10445,10749,2.96586
695,18,8.829337
43535,10751,4.13516
12519,18,2.86213
23210,35,8.730025
858,10749,10.234919
867,53,11.23297
78,53,96.272374
13203,10749,9.122718
10442,10749,8.051914
11074,53,13.390917
33367,10749,1.825468
9607,14,7.198455
17585,80,3.644641
9057,53,8.012225
20967,10402,0.873068
10635,10749,10.82236
9479,10751,17.730913
10057,35,6.34785
11969,37,11.338194
41590,53,0.85586
319,10749,17.189328
26408,36,1.273617
15139,16,7.436001
161158,35,0.741522
85247,10749,0.422224
11446,18,5.14056
51980,10749,2.759302
24405,10749,9.85327
11655,53,5.513024
11800,10749,0.449733
8223,18,3.647321
14587,18,0.441585
31504,10751,1.960563
41653,18,1.764582
53185,35,0.00015
95743,10749,0.002789
23637,10769,3.456868
17600,18,2.799575
10897,10751,6.707109
349394,35,8.20E-05
21352,12,3.139316
68806,18,0.046196
37345,9648,1.943323
32562,99,6.784687
47507,10769,1.040873
25403,18,2.904734
124304,18,1.213481
9066,35,4.233092
771,10751,0.702543
251,10749,11.945397
812,10749,16.357419
280,878,22.661695
581,37,11.654349
80350,18,0.426887
