movie_id,company_id,revenue,budget
11592,17411,7820688,13000000
8850,33,48063435,25000000
10445,11308,0,22000000
695,408,6110979,0
43535,9195,0,0
12519,25160,7770731,0
23210,36889,0,0
858,559,227799884,21000000
867,94856,116300000,40000000
78,7965,33139618,28000000
13203,915,36448200,0
10442,559,11585483,20000000
11074,6386,0,30
9607,12288,20915465,48000000
17585,12,7690013,7400000
9057,12883,16478900,50000000
20967,164,0,0
10635,11061,0,0
9479,9195,75634409,18000000
10057,175,53898845,30000000
11969,1504,56505065,25000000
41590,10210,0,0
319,10210,12281551,12500000
15139,6189,13670688,27000000
161158,2480,0,0
85247,37572,0,0
51980,1524,0,0
24405,10210,1596687,0
11655,6566,0,0
11800,2658,0,0
8223,11736,0,0
14587,5778,0,0
31504,97,0,0
41653,7446,0,0
17600,55151,0,200000
10897,23506,67308282,0
21352,4,0,0
37345,559,3021629,0
32562,58855,0,0
25403,20769,0,0
124304,37354,0,0
9066,4,0,0
771,477,476684675,18000000
251,4,505000000,22000000
812,2,504050219,28000000
280,61409,520000000,100000000
581,2630,424208848,22000000
80350,16636,0,0
268,6194,411348924,35000000
274,55072,272742922,19000000
408,3166,184925486,1488423
10020,10282,377350553,25000000
10895,3166,84300000,2600000
114,10282,463000000,14000000
41043,38963,0,0
576,4051,638641,6244087
15477,4063,0,0
59146,5551,0,0
30528,46108,0,0
7300,81131,97529550,0
10824,1382,13940383,0
261246,5996,0,0
275,10163,60611975,7000000
25059,2,32709423,0
11827,4952,0,9300000
8766,15343,16675000,4000000
23570,65446,0,8000000
47333,14,0,0
10112,3166,55675257,4000000
4307,105,0,0
46029,21108,0,0
32308,33,0,0
52873,635,0,0
44281,75424,0,0
28121,11308,0,0
12520,38091,442965,0
1592,4,102616183,30000000
19042,8411,8620678,0
38884,30226,0,0
47449,38180,0,0
36259,12,0,33500000
41852,60,0,0
9099,33,0,0
2021,31080,218626,0
61752,4319,4939939,12000000
10988,10210,0,0
11479,14191,0,0
398959,80481,0,0
287305,7025,0,0
339428,191,65335,0
10684,1302,100860818,46000000
954,44,457696359,80000000
68445,7327,0,0
18989,10355,0,0
10801,47,0,0
54285,6636,0,0
8840,33,115267375,57000000
11107,3492,0,0
16417,38209,0,0
10363,11290,0,0
161070,38178,0,0
10539,1755,28921264,38000000
10543,33,0,0
18414,126,0,0
47502,14,9789900,13000000
11902,6242,0,14000000
27098,17666,0,0
25087,10354,684351,0
5801,1984,536364,0
896,26424,16000,0
3065,1310,0,0
2300,55527,250200000,80000000
8069,1497,2500000,9000000
288173,4106,0,0
221917,16832,0,0
8072,63558,0,220000
35797,16772,0,0
83857,52599,0,0
33245,5270,0,0
27281,10201,0,0
40001,559,10070000,25000000
29621,38955,0,0
20762,285,0,0
48260,12745,0,0
12656,216,0,0
38867,26109,62949,0
25969,12,0,0
44103,4655,0,0
753,454,0,275000
43634,10201,0,0
9103,38114,57400547,30000000
29649,559,0,0
10990,8411,0,0
8866,55140,0,0
12233,554,74151346,31000000
23449,915,0,0
36355,38181,20080020,25530000
37667,53009,0,0
90148,14,0,0
922,663,0,9000000
11876,5358,15000000,35000000
52633,17777,0,0
11687,16804,0,0
9304,441,0,45000000
73183,33624,0,0
9100,5,24769466,15000000
20759,89312,0,0
46063,9195,5,0
40651,64448,0,0
36915,11308,0,25000000
40507,11787,3014000,4800000
9802,10288,335062621,75000000
25697,11308,0,0
21588,86308,0,4000000
664,23370,494471524,92000000
11867,1382,3793614,0
47119,93503,0,0
314352,9023,0,0
9323,12657,2287714,0
10280,10355,0,0
10535,915,0,18000000
124613,19262,0,0
532,297,0,0
26744,19760,0,0
16299,11308,0,0
10547,12451,14048372,25000000
245268,8411,0,0
935,441,9440272,1800000
55613,6700,0,0
41007,36995,0,0
35645,69627,0,0
110465,8411,0,0
255546,21454,0,0
40751,708,0,0
11101,23417,0,0
9826,7965,17300889,45000000
9879,97,113309743,50000000
22621,4125,0,0
7095,2173,58620973,45000000
26890,28205,1814290,0
46732,17064,0,0
124633,86296,0,0
202425,72598,0,0
77771,72472,0,0
181083,72469,0,0
41225,73349,0,0
87190,21076,0,50
627,9349,16491080,4000000
32872,126,0,1000000
602,347,816969268,75000000
14553,20783,0,0
9566,1236,18626419,55000000
10545,2,100138851,100000000
9894,441,102825796,47000000
11543,8411,25023434,27000000
9268,6194,242295562,100000000
9327,33,128769345,54000000
123763,61085,0,0
81949,6274,65352,0
183955,50180,0,0
44535,25129,0,0
78285,16772,0,0
11228,1302,159212469,80000000
10779,33,29359216,30000000
26748,11948,13269963,5000000
38223,2348,0,12000000
9294,9195,152036382,32000000
49963,53408,0,0
11363,43,9482579,3500000
1645,6194,152266007,40000000
31546,28206,665450,0
77056,30232,0,0
36344,87554,0,23000000
18550,8411,17193231,25000000
11511,10201,0,20000000
172198,8138,0,0
34170,2630,0,30000000
124645,3324,0,0
12606,4,0,0
35206,56112,0,0
4837,223,0,0
9098,2572,0,0
18975,11308,0,0
2925,258,116400000,26000000
28628,17179,0,0
3595,90663,309492681,80000000
9308,559,21302121,0
92381,285,0,0
18555,26192,258263,0
12123,20004,60209334,50000000
10830,559,33459416,36000000
3573,1443,22231658,6000000
10546,14,17917287,13000000
18862,11661,0,0
31417,13437,0,0
9431,69627,5600000,15000000
144982,5333,0,0
47907,97,12643776,6000000
10061,11661,42277365,50000000
36266,78240,0,0
549,93381,3011195,2962051
10478,6194,53854588,45000000
66634,2756,300000,200000
116690,4641,0,0
213917,6274,0,0
238,10211,245066411,6000000
159,99,0,0
11134,3054,20483423,900000
88224,2974,431326,500000
132641,882,0,0
9303,10355,7011317,4500000
23945,6194,0,17000000
37820,31317,0,0
22479,37163,0,18000000
9054,961,0,53000000
11985,25345,0,0
10232,2592,0,0
59569,15123,0,0
38955,2521,0,0
11015,15278,33956608,60000000
9306,12,49627779,40000000
12559,175,0,0
58770,56,0,8000000
3587,6194,0,32000000
10723,33,22611954,25000000
56077,90101,0,0
19004,4285,0,0
10987,14,15116634,5000000
44705,3102,0,0
20318,8,0,0
43596,52003,0,0
26933,30576,0,0
27854,4,0,3000000
981,8411,0,0
872,8411,7200000,2540800
2769,8411,4500000,2723903
13320,4,0,0
164,11355,9500000,2500000
426,10715,28000000,2479000
567,4,36764313,1000000
3078,441,4500000,325000
13528,8411,0,2068000
28288,6,0,520000
213,8411,13275000,4000000
284,11241,25000000,3000000
239,11982,25000000,2883848
4808,33,13474588,4000000
289,6194,10462500,878000
963,6194,1000000,375000
11113,6194,72070731,17000000
6620,4,10000000,2238813
804,4,12000000,1500000
26531,306,0,0
909,8411,0,0
630,31892,33754967,2777000
770,8411,400176459,4000000
31044,8411,0,0
599,4,5000000,1752000
15,11447,23217674,839727
62,8411,68700000,10500000
121357,4,0,0
705,306,63463,1400000
22490,8411,2270000,1688000
223,1553,6000000,1288000
25670,10096,0,0
303,6,24464742,2000000
4174,1553,7000000,1500000
8356,10917,0,0
381,4,8750000,2500000
20758,8411,0,0
29376,8411,0,0
1859,8411,2279000,1365000
18299,4928,0,0
17281,12668,0,0
64382,8411,0,0
10907,6194,3981000,2033000
32093,306,0,0
1939,306,2000000,1020000
22292,306,0,0
3598,441,0,4000000
3080,6,3202000,609000
198,60,0,0
13562,33,0,0
1712,6194,35000000,5400000
220,6194,5,1
3529,8411,1423000,226408
3085,5,0,0
2897,1258,42000000,6000000
1585,11770,9644124,3180000
3083,5,9600000,1500000
900,6,0,1073000
43795,441,0,0
85638,8411,0,0
50001,5235,0,0
43905,6,0,0
22688,16305,0,0
23114,1553,0,0
26378,6194,0,0
40206,6194,0,0
22356,1432,0,0
260,10932,0,0
43488,15524,0,0
22613,12258,0,0
10331,14122,30000000,114000
488,3632,10750000,1300000
22733,15931,0,1000000
261,8411,17570324,3000000
57575,8411,105,0
32574,9330,0,0
22657,34103,0,0
76464,19729,0,0
22649,4,25,4
176841,8411,0,0
125587,12745,0,0
39448,22060,0,0
52855,21155,3028094,0
39940,441,0,0
85328,38567,0,0
11076,5842,0,0
63945,78106,294064,0
58985,17218,0,0
890,610,0,0
10861,5,51702483,25000000
1770,6194,16900000,28000000
44465,915,8538318,0
2033,888,0,0
18203,11661,0,0
9333,656,47267001,67000000
47260,20049,0,0
9400,12,41590886,9000000
9401,19529,0,0
12241,44774,49620,2300000
11306,10153,17380126,38000000
9625,17825,0,45000000
10680,5888,22955097,0
6346,1302,22540359,50000000
18660,3166,0,0
35115,3166,0,0
14821,3166,20000000,0
14136,3166,0,0
10869,2,0,0
22660,3166,0,0
19186,2,0,0
31102,3166,0,0
6878,8830,0,0
15944,3166,0,0
18444,3166,0,0
20723,3166,0,0
173,3166,28200000,5000000
864,5888,154864401,14000000
24795,175,50236831,0
11224,3166,263591415,2900000
81310,3166,0,0
15947,2,0,0
9078,3166,22182353,3000000
29682,3166,0,0
8367,10210,390493908,48000000
433,3166,102272727,6000000
11360,3166,1600000,812000
11114,3166,0,10000000
12335,3166,17900000,20000000
12092,3166,572000000,3000000
10948,3166,29800000,12000000
11229,30702,0,3000000
15121,6305,286214286,8200000
562,1885,140767956,28000000
10163,5570,32101000,10000000
48862,14,0,0
47199,38436,0,0
11159,10100,13417292,4500000
9591,38944,34585416,0
30500,23098,4137645,0
41843,20740,1985001,16000000
55058,38555,0,0
10938,10532,1500000,0
11412,21920,89456761,65000000
10586,6033,75000000,50000000
42314,67930,0,0
23223,20809,0,0
